screen_name,name,description,category,count
FarOutAkhtar,Farhan Akhtar,Writer. Director. Actor. Singer/Songwriter. Founder- @MardOfficial Initiative | @UN_Women Goodwill Ambassador(South Asia),person,31844
TravelMagazine,The Travel Magazine," Get the latest travel news, articles, reports, guides, offers, competitions and more from https://t.co/0In5ml7F8A - we'd love to hear from you too.",travel,31818
onedirection,One Direction,1D's album Made in the A.M. is OUT NOW: https://t.co/gtTGAb8uTh |,person,31784
TechCrunch,TechCrunch,"Breaking technology news, analysis, and opinions from TechCrunch. The number one guide for all things tech.
Got a tip? Let us know tips@techcrunch.com",news,31741
kimberly_chia,Kimberly Chia,A blessed girl having the time of her life. Learning to appreciate everything that is life.  kimberlychia.sg,person,31706
LilTunechi,Lil Wayne WEEZY F,IM YOUNG MONEY http://t.co/wMwkyzCu,person,31644
Support,Twitter Support,"We Tweet tips and tricks to help you boost your Twitter skills and keep your account secure. For detailed help, visit http://t.co/qq1HEzdMA2.",,31616
speishi,Peishi Soh, Instagram: @speishi �� https://t.co/bJzgoclHvz �� Email me at speishi@hotmail.com,person,31529
shahidkapoor,Shahid Kapoor,"Actor, Dreamer, Lover, Believer .",person,31492
LouisVuitton,Louis Vuitton,The official Twitter page for Louis Vuitton Worldwide. Contact client services at @LVServices for customer assistance and personalised advice.,brand,31437
WayneRooney,Wayne Rooney,@NikeUK athlete https://t.co/3yp07llC6E @triplessports,person,31385
voguemagazine,Vogue Magazine,The official twitter page of Vogue Magazine.,channel,31364
ParineetiChopra,Parineeti Chopra,Instagram - Parineetichopra. Snapchat - ChopraParineeti,person,31275
sonakshisinha,Sonakshi Sinha,"Shotgun Junior! Instagram: aslisona, Snapchat: aslisonasnap",person,31196
AnushkaSharma,Anushka Sharma,,person,31175
NFL,NFL,Official Twitter account of the National Football League. Our Social Media Policy: https://t.co/Og68FW2cN7,sports,31080
IATA,IATA,The International Air Transport Association (IATA) is the global trade association of airlines. Our 260 members comprise 83% of total air traffic.,travel,30933
NewYorker,The New Yorker,"The New Yorker is a weekly magazine with a mix of reporting on politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism.",channel,30645
BrunoMars,Bruno Mars,,person,30602
Skype,Skype,The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.,brand,30522
tomhanks,Tom Hanks,"I'm that actor in some of the movies you liked and some you didn't. Sometimes I'm in pretty good shape, other times I'm not. Hey, you gotta live, you know?",person,30220
TrulyNoah,Noah Yap 叶荣耀,Actor - Host - YouTuber Business enquiries: nyry-.-@hotmail.com,person,30206
WIRED,WIRED,WIRED is where tomorrow is realized.,channel,30201
CNTraveler,Conde Nast Traveler,"At home in the world. 

Snapchat: CNTraveler",travel,30148
AnupamPkher,Anupam Kher,Actor/Teacher/Author/Motivational Speaker/@UN_Women Champion of Gender Equality @HeForShe,person,29762
CBSNews,CBS News,The official twitter feed of @CBSNews. Follow for original reporting and trusted news.,news,29698
FT,Financial Times,"News stories, features and updates from the FT. For headlines follow @financialtimes. Our customer service team is @FTcare.",news,29672
ndtv,NDTV,Breaking news alerts from India,news,29577
CHANEL,CHANEL,"'CHANEL is above all a style. Fashion passes, style remains.' Gabrielle Chanel",brand,29295
Dior,Dior,,brand,29290
googlemaps,Google Maps,Photographic dispatches from Planet Earth.,brand,29231
danieltosh,daniel tosh,not a doctor,person,29057
RNTata2000,Ratan N. Tata,"Former Chairman of Tata Group. Personal interests : - aviation, automobiles, scuba diving and architectural design.",person,28908
_austrian,Austrian Airlines,"Official Austrian Airlines twitter Channel - the charming way to fly! For compliments and complaints, please refer to https://t.co/ODtoNtlX4z.",airline,28848
xtina,Christina Aguilera,,person,28561
coldplay,Coldplay,"New album, A Head Full Of Dreams, out now worldwide. #AHFODtour runs through 2016. Spanish language account: @coldplay_es",person,28400
ArvindKejriwal,Arvind Kejriwal,Political revolution in India has begun. Bharat jaldi badlega. Arvind Kejriwal.,person,28375
Zongino,Zongino,OUT OF THIS WORLD FUN,,28298
Gatwick_Airport,Gatwick Airport LGW,We're here 24/7 to answer your questions and help you have a great experience at Gatwick. Follow @LGWobviously for runway 2 news.,airport,27993
blakeshelton,Blake Shelton,The Official Blake Shelton Twitter. You're getting the real BS straight from Blake himself. (And a few official updates from Team BS too),person,27850
nytimestravel,NY Times Travel,Travel news and features from around the world.,travel,27845
davidguetta,David Guetta,Official David Guetta Twitter Page. http://t.co/RMCqdEM9XC,person,27820
thejianhaotan,JianHao F� Tan,"To catch me, you gotta be fast. To find me, you gotta be smart. To be me... lol, you gotta be kidding. https://t.co/jivUlIUvfu",person,27706
muttons,MuttonsInTheMorning,Muttons In The Morning - Weekdays 6am-10am on Class95FM. Radio geeks. Loves 4-ply tissue.,channel,27621
realmadrid,Real Madrid C. F.,"Cuenta oficial del Real Madrid C.F., ENGLISH @realmadriden, FRANÇAIS @realmadridfra, العربيه @realmadridarab, 日本語 @realmadridjapan.",sports,27604
WorldBank,World Bank,The official World Bank Twitter feed. The World Bank's mission is to fight poverty with passion and professionalism for lasting results.,other,27497
aliciakeys,Alicia Keys,"Passionate about my work, in love with my family and dedicated to spreading light. It's contagious! ;-) https://t.co/vZcUuNOKcz",person,27351
neymarjr,Neymar Jr,"Filho de Deus, Pai, Feliz e Ousado !",person,27243
AppleMusic,Apple Music,All the ways you love music. All in one place.,brand,27073
AvrilLavigne,Avril Lavigne,Get 'Avril Lavigne' on iTunes now: https://t.co/m8yd5aoLeN,person,27068
Alitalia,Alitalia,Welcome to the official AlitaliaTwitter account! Follow us for latest news and events!,travel,26968
rogerfederer,Roger Federer,Professional tennis player,person,26925
NatGeoPhotos,Nat Geo Photography,All things photography from National Geographic. Like us on Facebook: https://t.co/17NiJ0092Z,,26891
AlaskaAir,Alaska Airlines,Official account of Alaska Airlines. Our Social Care team is here for you 24/7. For a formal response: https://t.co/NejvhDF05N. Tag photos with #iFlyAlaska,airline,26889
hmsingapore,H&M Singapore,Fashion and quality at the best price.,brand,26743
twitterapi,Twitter API,"The Real Twitter API. I tweet about API changes, service issues and happily answer questions about Twitter and our API. Don't get an answer? It's on my website.",other,26709
