"Date","Title","Rating","Content","Source"
2015-03-25,"ingapore Airlines customer revie",5,"Flew MEL to SIN using a 777-200. Ever since SQ removed the A380 from Australian flights their value for money is no longer there. The biggest problem is the IFE. During my flight the IFE was not working the movie would break in the middle of the show and during some of the time the voice would disappear. Even with twice re-booting the IFE was not working. During the time that the IFE was working the screen is so small and the picture so blurred that it became impossible to see the picture. The adjustment of the brightness was also futile. Hello SQ these aircraft's should be retired as they are degrading your brand name and definitely not worth the money we are paying for. Even Vietnam Airlines now will be flying the A350 and the B787-900 to Melbourne soon. I'm really disappointed.","Skytrax"
2015-03-20,"ingapore Airlines customer revie",3,"We were making a return trip from Kota Kinabalu through to London Heathrow via Singapore on 28th February 2015. We checked in at KK in plenty of time we were the first people to check-in! We were issued with our tickets but not told that we would not be able to sit together on the 13 hour flight from Singapore to London we discovered that by checking our tickets before entering departure. We returned to the check in desk and were told that they were unable to change this as it had been 'blocked' (We feel that we should have been told this when we checked in). We were advised to talk to the transit desk when we arrived in Singapore. On arrival we went to the transit desk the staff were very helpful but we were told that we were still unable to sit together. We had explained that my husband was a very nervous flier. When we got to the departure gate they were able to change our seats. Why could this not have been done earlier and alleviated a lot of stress for us. The breakfast meal was not very nice. Initially we were told there was only one choice which was Singapore carrot cake which we didn't want as did most people sitting near us. We were found an alternative meal which was cold! We are regular fliers to Asia and have flown with Singapore airlines many times but we feel that on this occasion the standard of service was not to the standard that we would expect from a premier airline.","Skytrax"
2015-03-20,"ingapore Airlines customer revie",9,"SQ 917 (Manila to Singapore) and SQ 918 (Singapore to Manila). March 9 2015 (SQ 917) and March 11 2015 (SQ 918). Singapore Airline's service is more impressive than the last airline I took before. I got this flight 50% off from its original price from a promo so when they go on sale Singapore Airlines is more than value for your money. Even if they aren't on sale they are reasonably priced with the service and freebies they give. They have free- flowing drinks their food is impressively close to a fine dining experience and their staff is very friendly and approachable. Their inflight entertainment is good but the seat's legroom is a bit cramped.","Skytrax"
2015-03-20,"ingapore Airlines customer revie",10,"SIN-SUB and SUB-SIN SQ930/931. A330-300 on both legs. Impeccable service from the minute you board to the minute you get off the plane. Hot towels were served shortly after boarding followed by food. Very courteous and pleasant crew members and at all times kept toilets clean. The aircraft's PTV was good. The seat on A330 was nice can stretch longer than some full services airline in Asia and it's comfortable. Overall a very pleasant experience and it's always a pleasure to fly Singapore Airlines.","Skytrax"
2015-03-20,"ingapore Airlines customer revie",8,"I flew from AKL to SIN on January 13. The plane was an Airbus A380. The service was nice and the food delicious. The only problem was the inflight entertainment system the music and the movies would stop now and then for the entire flight even though there was no announcements. Despite that this is a very pleasant flight and I would definitely fly using this airline again.","Skytrax"
2015-03-17,"ingapore Airlines customer revie",7,"Flew on redemption tickets SQ First Singapore to Seoul and Business back from Seoul. I was very disappointed with the first class. The last time I did First was to New York about 4+ years ago on the ageing 747 that was far better an experience. Pre-flight details were excellent using the Private Dining in T3 Changi. However the food on board was terrible. My wife ordered the Japanese Kaiseki and it was not good. My Wagyu Sirloin was leather tough.However Dom Perignon 2004 did help to wash it down. Fortunately the flight back form Seoul on Business was excellent with good food. I think SQ need to re-look at their inflight food standard outbound from SIN.","Skytrax"
2015-03-17,"ingapore Airlines customer revie",10,"LHR-SIN-CHC and return. Outstanding service food drinks and comfort in business class. Staff excellent attention and politeness with high level of customer care training. Altogether a fantastic experience.","Skytrax"
2015-03-04,"ingapore Airlines customer revie",8,"Travelled on DEL-SIN-DEL route a couple of times in the last month and though largely satisfied did think SQ standards are slipping a little. Given its always significantly higher priced compared to competitors I found it a little disappointing. As always no complaint on the service or IFE (except once as below) but was very disappointed with the food served on SIN-DEL leg both times (bland and just not tasty). One of the DEL-SIN flights on an A380 was a little worse than others with the IFE system not functioning properly for a large part of the flight. It had to be reset several times before it worked. Moreover the aircraft seemed a little worse for wear compared to the usual SQ equipment with some seat covers coming off and the toilet barely clean. All in all the problems were not significant but could be a sign of SQ becoming complacent on a route on which it has little to no competition.","Skytrax"
2015-02-24,"ingapore Airlines customer revie",9,"BNE-SIN-CMB-SIN-BNE in Economy Class. Flew A330 on all legs. Seats were comfortable cabin crew were polite and friendly and entertainment was great. If there was any complaints it would be the lack of leg-room (I am 6ft 2') although it may be more than enough for a shorter person. Would definitely fly with again.","Skytrax"
2015-02-24,"ingapore Airlines customer revie",9,"MEL-SIN-KIX return. Outward flights around 30-40% full and close to 100% on the return. Food poor on the MEL-SIN leg but enjoyable on the remainder. Excellent cabin service by friendly proactive staff including numerous water & juice runs on all legs. Return flights both delayed by around 15 minutes due to luggage having to be removed after 'no-shows'. A good selection on the entertainment system although there were some lags and occasional freezing on the flights to and from KIX. The aircraft interiors all seemed to be in good condition and the seating comfortable despite the seat pitch being a bit tighter than I remember experiencing the last time we flew with the Airline.","Skytrax"
2015-02-18,"ingapore Airlines customer revie",9,"PER-SIN-BOM. B777-200 on both legs. What can I say about Singapore Airlines? Impeccable service from the minute you board to the minute you get off the plane. Hot towels were served shortly after boarding followed by drinks and dinner. Very courteous and pleasant crew members. Dinner choices on the PER-SIN leg were limited to Pork Stew and Stir fried beef but they were not too bad. Breakfast was served on the SIN-BOM leg with a choice of Indian crepes or baked eggs with chicken sausage and baked beans. The aircraft's are showing signs of ageing though as some PTVs were not working and a couple of seats in the middle row seem to have had reclining problems. Overall a very pleasant experience and it's always a pleasure to fly Singapore Airlines.","Skytrax"
2015-02-18,"ingapore Airlines customer revie",6,"SYD-SIN then SIN-ZRH and return. The flights over were at Christmas so the leg to SIN was packed. Late departure made for a very tight connection at SIN. Attentive service comfortable seat for a day flight and book the cook worked but the food was ok not outstanding. SIN-ZRH on A380 was quite empty upstairs so very attentive service with the whole back part of the cabin to myself. Toilets seemed to be cleaned after every use although they're the smallest I've encountered in a business cabin. The seat was good but the mattress a bit thin and the weird need to put feet in a small box on one side isn't entirely comfortable. Honestly there are much more comfortable options. IFE wasn't as good as others but a decent selection of movies and TV shows available. I can't say I liked all the advertising on it though. Friendly attentive staff clean aircraft and ok food and entertainment but in my opinion there are better options for far less money.","Skytrax"
2015-02-06,"ingapore Airlines customer revie",10,"CPH/SIN - SIN/CPH economy. Two excellent 12 hours flights good seat comfort staff service superior they walk through cabin with juice and water three times per hour staff provide a good atmosphere and spirit in cabin and at all times kept toilets clean. IFE screens needs update too small and inferior image quality. On flight back to CPH captain made very thorough explanation prior to entering severe turbulence this info made many passengers feel better during the one hour rough ride. Have flown SIA regularly for 35 years still my absolute favorite.","Skytrax"
2015-01-30,"ingapore Airlines customer revie",1,"I took 2 flights with SQ in Business Class last week: SQ173 SGN-SIN - main dish was inedible - overcooked. SQ528 SIN-MAA - understaffed business class cabin could not prepare the food in time for half of the passengers 90 min wait between the first and second course.","Skytrax"
2015-01-28,"ingapore Airlines customer revie",8,"I took Singapore Airlines SQ 609 from Seoul to Singapore on 25 January 2015. The inflight entertainment system on that flight was not working properly and I had to swap to another seat to continue watching my movie. From what I understood from the onboard announcement quite a number of passengers were affected as well.","Skytrax"
2015-01-28,"ingapore Airlines customer revie",8,"Generally excellent courteous service but Entertainment system which offers a vast selection of films is the only downside to the flight. I am constantly pointing out to the flight crew out of every 4 flights I take on SIA I will experience problems with the entertainment system on at least 3. If not complete breakdown it is usually a problem with âstuttering (picture freezes and then catches up but cutting out parts of the film in the process) and/or the sound disappearing half way through a film. My family members share my experience. Consequently the problem is systemic and chronic. The fact that SIA does nothing to improve this demonstrates not only a clear lack of commitment to delivering a seamless enjoyable passenger experience but also a lack of consideration for the flight crew who have to spend so much time unnecessarily dealing with passengers complaints. By the way system reboots are a very frustrating and annoying thing for passengers to put up with. But this seems to be the cheap route they have chosen rather than fixing what is patently broken.","Skytrax"
2015-01-28,"ingapore Airlines customer revie",7,"Flew from SYD-SIN-IST Business Class on an ageing 777-200. Aircraft was the same all the way from Sydney to Istanbul. Whilst old the aircraft was very clean and well looked after. Food and Service were very good. The staff were wonderful. The Business Class seats/beds on this aircraft are a little hard compared to seats on other airlines which made it difficult to get comfortable on two night flights back to Turkey. IFE isn't as good as on other airlines or as good as SIA's newer aircraft but didn't affect the journey in a negative way. SIA would do well to offer pyjamas to customers in Business Class in the same way that Qantas do.","Skytrax"
2015-01-26,"ingapore Airlines customer revie",10,"RUH-SIN and back. Outbound flight was March 20 and sadly SQ now stopped this flight. Check in was smooth and RUH was well RUH. SQ 455 left RUH at 11.55pm on time and arrived to SIN at around 1.25pm. The flight attendants are excellent. The food was great and the seat was very good! You could sleep comfortably (it wasn't a lie flat since it was on a A330) and the other positions were very comfortable. The IFE was up to date and entertaining. Everything was on time and arrival at Singapore was perfect. I arrived at T2 and it was empty with barely anyone else there. The flight back was also good (but more crowded) and it was on time and comfortable (but it was a day flight so I didn't sleep). I would recommend.","Skytrax"
2015-01-26,"ingapore Airlines customer revie",10,"I flew from Amsterdam - Singapore - Singapore - Perth. The first leg was probably the best long haul flight I've been on. Service was excellent with drinks served regularly along with snacks and the meals where pretty good. The seat was really comfortable and plenty of leg room (I thought I was in Business class with the amount of leg room).","Skytrax"
2015-01-26,"ingapore Airlines customer revie",10,"Flew economy on 12 November from Sydney to Singapore. The service was excellent. The staff are so kind and helpful. Busy looking after all passengers the whole flight. Seats very comfortable. I was in the first row after business class and had tons of leg room. The food wine and entertainment second to none. Toilets exceptionally clean with good products supplied.","Skytrax"
2015-01-23,"ingapore Airlines customer revie",6,"Flew IST-SIN SIN-SYD on B777-200. One of the aircraft had been ""refitted"". Both had quite hard seats. For the first sector I was seated in 51A which on a night flight gets a direct beam of light coming from the toilets on a regular basis. It's quite disturbing and I wouldn't recommend this seat to economy passengers in this part of the cabin. The inflight entertainment is dated and the screens quite small compared to other aircraft in the SIA fleet and other airlines particularly the second sector where the screen was exceptionally small. This must have been one of the oldest aircraft in the SIA fleet. It seems SIA reserve their ageing aircraft for the IST route. The inflight service on both legs of the journey was very average. I ordered a special meal so received my meal first however it took over an hour to get a drink to go with my meal which is served when the rest of the meals are served. I think there is some room for improvement here from SIA. I was surprised to have to remind the cabin crew about my missing drink as normally their service is second to none. The food was fine and well above average although the coffee not always hot. Check in staff were quite good at IST and as with almost every flight I have ever taken departing from Ataturk Airport it was a delayed departure - this flight by 45 minutes.","Skytrax"
2015-01-21,"ingapore Airlines customer revie",10,"Our trip was Copenhagen-Singapore-Bali and return. Staff were very pleasant and smiling. The food was the best airplane meal I have had it was delicious and there was plenty of it. Seats where fine and the entertainment system on all 4 flights was up to date. Your boarding cards gets you discounts on various attractions in Singapore so keep them. Changi Airport is the best airport I have seen so green and a lot to do and see if you have to wait a long time.","Skytrax"
2015-01-21,"ingapore Airlines customer revie",10,"Singapore Airlines has finally upgraded their product on the Singapore - Bali route. Although the A330 is not my favourite plane the SQ A330 has the upgraded regional biz product in a 2-2-2 configuration which is way better than the old standard recliner biz seats on the 777-200. Happy to see the new product on this popular route.","Skytrax"
2015-01-21,"ingapore Airlines customer revie",10,"I travelled to Australia via Singapore on the 10th Dec and returned on the 14th Jan. On both sectors out and back I received excellent service from the cabin staff. The choice of food was entertainment was very good and although it is a long journey the staff were polite and understanding. I will definitely be using Singapore Airlines again and was particularly impressed with the A380 airliner.","Skytrax"
2015-01-19,"ingapore Airlines customer revie",3,"Flown from SIN to BNE in Business. The aircraft an older A330 Seats were not flat the service acceptable but not 5 stars. Breakfast was not hot but just lukewarm. For that reason I was not keen in eating it. In my humble opinion that is the product is totally overpriced and it selling it on the name only. After the emerging of the middle eastern carriers you can see the features and benefits other airlines give you. Other airlines talk about. Please don't get me wrong the airline is acceptable and is better than other airlines but compared to what you pay and what you get I am sorry I would not like to buy this product again.","Skytrax"
2015-01-19,"ingapore Airlines customer revie",5,"Having just returned from spending Christmas and New Year with family in Australia travelling Singapore Airlines 777-300er from Manchester-Singapore-Perth flight SQ327. I was allocated the worst seat on the plane seat no. 56G on the back row my knees were pushed up against the seat in front couldn't stretch my legs out under the seat in front because the seat was so close had to keep getting up to stretch my legs. I would like to know who allocates the seat number its not the travel agent he can only request an aisle/window seat is it Singapore Airlines at the time of booking (booked 5 months in advance) was it the only seat available? Is it the people who book 48 hours before on line or is it at check out at Manchester. I would have thought the back row was reserves for people on stand by or last minute bookings. Travelled many times with Singapore and always found them to be one of the best but not this time. Not a happy pensioner.","Skytrax"
2015-01-14,"ingapore Airlines customer revie",9,"I am a very satisfied frequent traveler on SQ and this review only covers the way they serve their special meals in general and the inconvenience this procedure causes on short flights. I noted down the exact service timings on a 75 minute flight (SQ959) between Jakarta and Singapore on 4 Dec 14. Flight take off 15.05 special meals service started 15.15 I was served at 15.50 and my tray was taken away at 16.03 when I had not quite finished the meal. If you order a special meal you will be embarrassed to receive it too early when your neighbors have even not received their drinks. The tray-by-tray special meal service takes so much time that those receiving a standard meal have very little time to eat it at least on short flights. In the glory days of Malaysian Airlines (which I almost exclusively flew between 1998 to 2009) somehow they would bring the special and regular meals together so that all passengers were served at the same time. Wonder if SQ could think of some way to reduce the time lag between special meal and regular meal service? This is not a complaint but a suggestion.","Skytrax"
2015-01-14,"ingapore Airlines customer revie",3,"LAX-NRT-SIN with no ground customer service to be found anywhere. The usually short refuelling stop in NRT became an overnight 17 hr delay due to Engine problems. Singapore Airlines held us on the plane for over 4 hrs and insisted on serving us the inflight dinner rather than let the passengers disembark. The hotel provided for Economy class was (Nikko Narita) was rather on the run-down side. First and Business where hosted at the local Hilton and another hotel (Did not catch the name). We had a connection to MDC the next morning in Singapore which we missed. That connection only flies every other day so that we had to stay two days in Singapore over Christmas rather than on our vacation. The biggest problem was that no-one on the phone or the ground staff in NRT could provide us with a new itinerary to our destination. To add insult to injury the first phone representative insisted that my flight had taken off as planned even though I had called almost 3 hrs after the delay started. The second one was even worse in first refusing to help at all as he claimed I had deviated from my booked LAX-SIN itinerary. It was only after some complaining that he finally realized that NRT is indeed on the route. Not that he had any further information to offer after that other than saying I would get more information in Singapore. Once finally in Singapore the representative at the gate who was supposed to have our onward information did not and had us wait for another length of time at the transfer desk in Singapore. There finally I was handed the boarding passes to our final destination and hotel vouchers. I am Executive Platinum with American Airlines and have seen my fair share of breakdowns and delays. However without fail an AA representative on the phone has been able to give me my new route/times within minutes of the official announcement of the delay. Onboard service on Singapore Airlines is certainly better than on AA. That said I will gladly trade in a bit of comfort for the knowledge that I am being taken care in a timely manner if something does not go to plan.","Skytrax"
2015-01-14,"ingapore Airlines customer revie",6,"SFO-HK I was disappointed in the overall experience. It appears to me the airline is cutting corners and not keeping up with the ME carriers. The seat although wide is not particularly comfortable in the seated position. The fully reclined position was better but the bed was hard. They would do well to add a comforter on the sleeping surface to provide a softer experience. They used to provide an amenities kit- no longer. The food too was just not as good as it used to be. If they want to retain their ratings they better spend a bit more on their business class product.","Skytrax"
2015-01-14,"ingapore Airlines customer revie",6,"Travelled AKL-SIN on the old 777 with the incline bed. There was no topper pad for the seat so very uncomfortable to try and sleep. This is a 10 hour flight so it was not up to scratch. These days you really expect more in Business class. There are also 6 seats across so there is not a lot of room to spread out. The food was only just acceptable but as the flight left at 1am we didn't feel like much anyway. I think Singapore need to review their fares on this aircraft as it was barely a step up from premium economy on other airlines. The way back SIN-CHC is the refurbished 777 with a lie flat bed and 4 seats across. A quite different experience. A lot more room and even though it feels a bit weird to sleep diagonally it was fine. 2 comfy pillows. I had tried to book the cook but I didn't think it had worked online as couldn't see it in our booking but on arriving home found confirmation emails that it had but we didn't get our requested meals on the plane so don't know what happened there. The food was really good anyway. Service was fantastic from the crew in fact it was the best part of the experience. In Singapore they allowed our two sons (21 and 17)who were travelling with us but in economy to come into the lounge as we had 6 hours there which was really appreciated. On both trips the movie selection was dismal and the only amenities given out were a pair of slippers and an eye mask . There were some toothbrushes in the bathroom but they were all out on the way to Sin. This was our 1st time travelling business with Singapore and have to say was slightly underwhelmed compared to our other experiences.","Skytrax"
2015-01-14,"ingapore Airlines customer revie",4,"CCU to SIN in the first week of January 2015. Had a seat in Row 36 and as part of the boarding process was made to stand in a queue (one for different sets of rows) for forty minutes. This is a ridiculous ground staff strategy to ensure organised boarding. Considering the flight duration is ~4 hours with a pre 5 a.m. landing the cabin lights were on for most of the flight for catering and duty-free shopping. For a 5-star airline the handling of boarding and the management of the cabin left a lot to be desired.","Skytrax"
2015-01-14,"ingapore Airlines customer revie",10,"Singapore to Bangkok on flight SQ970. Check-in was quick and the staff are very friendly. The inflight entertainment was wonderful as it is been updated not long ago there a lot of new movies. The business class seats were great - big and comfortable. I order the book the cook - really good although an average portion. I will definitely fly with Singapore Airlines in the future.","Skytrax"
2015-01-05,"ingapore Airlines customer revie",7,"BKK-SIN-MEL. Of course the service could not be faulted. The main problem we had with our return trip is that we had medium haul 777 and on the way over the much more comfortable long haul product. The medium haul has an inclined bed seat that is far too hard and not at all comfortable whilst the long haul has the fully flat (and deliciously soft) bed- more like a cubby than a bed). It was a bit disappointing. As it was a midnight flight both ways the ides of offering meals just after take off or two hours before landing is a great one but the breakfasts on both trips were terrible on the way home inedible. I know the food in economy is much better.","Skytrax"
2015-01-05,"ingapore Airlines customer revie",10,"Flew from Narita to Singapore on an A380 Meal was great service was top notch everything was close to perfection. What makes SQ special is that even if you are seated in coach the crew provides you with business class level of service and try their best to make your flight enjoyable. The only downside is that Singapore Airlines is usually more expensive than other airlines. Yet I am willing to pay more to travel on this airline.","Skytrax"
2015-01-05,"ingapore Airlines customer revie",10,"Took the A380 Suite HKG-SIN on 19 Dec. Flight departed slightly late but arrived on time. Great service and seat - amazingly comfortable seat. The only downside is the lack of storage. Could only store handbag under the ottoman. IFE choices were extensive and updated. Was given free 15MB WiFi. Pre-ordered Book the Cook's Lobster Thermidor and it deserves its online reputation. The rest of the courses were mediocre - more like Business Class food. Service was excellent as expected of SQ except that the FA forgot to return me my coat at the end of the flight causing me to walk halfway to Arrival only to turn back upon realizing my forgotten coat.","Skytrax"
2014-12-31,"ingapore Airlines customer revie",9,"Heathrow-Singapore-Auckland return Nov/Dec 2014. All four sectors were on the A380 and I had economy seating on the main deck for two trips and on the upper deck for the other two. Smoothest take-offs I have experienced and smooth quiet flights in general. Excellent service from flight attendants who treat you like they want you to fly with them again. They would come back and check on people who had questions or didn't understand how to operate the entertainment system. Adequate legroom and very good entertainment system to help you pass the hours. Most meals were excellent and flight attendants came through at non-serving times to offer snack items. Only minor issues: the entertainment system would lag a bit on playback of films and the tray table/seating areas could use a bit of a deep clean. Otherwise this was the first time I had flown Singapore Airlines in nearly five years and it remains as good as I remember - my favourite airline. Highly recommended.","Skytrax"
2014-12-31,"ingapore Airlines customer revie",8,"Flew from Melbourne to Singapore and back. Boeing 777-300 on MEL-SIN had one of the oldest IFE screens I have ever seen on SIA (flying since 2010). Priority meal for other passengers around me meant I had to wait for ages for a meal. SIN to MEL was a brand new A330-300 and had nice IFE and dinner served on board was the best I have had inflight. Serving dinner in the late night and keeping lights on meant there is no way you can sleep properly. I will still fly SIA because of their hospitality and cabin comfort.","Skytrax"
2014-12-22,"ingapore Airlines customer revie",4,"Singapore Airlines is slowly losing it on their long-haul business class compared to other Middle Eastern airlines. I used to love this seat 7 years ago when they launched it however today it doesn't measure up to its competition. Especially given the price. You always tend to sit sideways which is discomforting after a while especially on this long-haul flight from Singapore to LA via Tokyo on the A380. This must have been one of their oldest A380's for the seat was tattered and basically a lot of wear-and-tear was evident in the cabin and lavatories. Moreover the IFE didn't work in my seat which was very annoying on this long flight. They tried to fix it onboard as well as during the Tokyo layover with no success. Since the flight was full I couldn't change seats. The food though was outstanding.","Skytrax"
2014-12-22,"ingapore Airlines customer revie",5,"I flew from Melbourne to Singapore on a 777. Singapore to Delhi on the A380 and Singapore to Adelaide on the A330. In terms of seat space the oldest one ie the 777 was the most comfortable. I am 1m73 and the Airbus both felt cramped. On the other hand the inflight entertainment on the 777 was pretty poor with scarce visibility of the screen which makes it impossible to read subtitles on foreign films. The IFE on the Airbus was much better. The cabin and toilets were clean and the crew was polite and efficient on all flights. My main complaints are first with the food. I ordered a Lacto-Ovo vegetarian meal which was pretty standard. On all the outbound flights (and I'm not a fussy person) the meals were almost inedible. The other problem is that as they serve the special meals a long time ahead of the normal meals I ended up sitting in an upright position with my tray for over 90 mins not good. On the Airbus the trays are too big for the foldable table and therefore it keeps on sliding it's really annoying. The white wine was also not very good. My second complaint would be with the ground staff. They were particularly unhelpful at check-in in Melbourne. All I wanted was 2 seats together but they made such a big deal of it all and because I had booked under the Virgin Australia flight numbers I couldn't check in online 48hrs prior so that wasn't my fault. Plus on the outbound we only had 1 hr transit and because the flight was delayed we ended up having to run between the 2 terminals with no help from ground staff whatsoever so that was very poor customer service considering the delay was the airline's fault to start with. We did make our connection but it could have been handled a bit better. Overall I am disappointed and didn't find this airline to be that much better than any other ones. Not worth the extra money anyway.","Skytrax"
2014-12-22,"ingapore Airlines customer revie",10,"B777-300ER (SIN-LHR). Overall the flight was fabulous. From pre-take off to airborne to landing all cabin crews make their very best effort to keep the service went well throughout the flight. Cabin crews were attentive friendly and helpful. Cabin crews were always appeared in the cabin and went around to serve passengers some drinks and snacks after the meal services. The food was delicious. The cabin was very comfortable especially the lighting. I was lucky enough to board their brand new Boeing 777-300ER. Take off and landing were smooth without much noises. Also the lavatory were in clean condition all the time. This is the airline worth flying with and I would recommend to the others. Although I was flying Economy class I felt I was being treated as a business class or first class passengers.","Skytrax"
2014-12-22,"ingapore Airlines customer revie",10,"Paris CDG - Singapore SIN A380. Everything was fantastic. The flight was on time. Cabin crews were very attentive and friendly throughout the flight. Food was good and toilet was clean all the time. Cabin crew were soft spoken with great language proficiency. My only complaint is to upgrade their inflight entertainment like the one they have in 777-300ER. Have flown with other major airlines to the majority of European cities SQ is still my favorite. Overall I am very satisfied with the airline and a big thumb up to the crew members. I would fly with SQ and recommend this airline to my friends and relatives.","Skytrax"
2014-12-18,"ingapore Airlines customer revie",10,"Flew with my 7 year old son from ADL to LHR direct. Experience with faults and the airports excellent too. The staff remembered our small requests and returned throughout the flight to say that they had not forgotten. My son's request from the standard adult menu was given first. Our seats were comfortable and the plane clean. The food was good but meat a bit tough the Asian option was better. I have flown Adelaide to London frequently and this trip was the best by far. From check-in through to meeting my family at Arrivals I could not find fault. It's a long flight but I felt the better for it (and family commented on it too!) at the end due to it being so easy. Singapore Airlines really are the best for economy long haul.","Skytrax"
2014-12-18,"ingapore Airlines customer revie",8,"SQ Flight 346 SIN - ZRH on the A380. The flight leaves very early in the morning at 01.30. Singapore Airlines should really change the meal service concept on this flight. Having to endure a full service this early in the morning is just cruel torture when passengers would actually would just want the lights to go out and go to sleep. Why not hand out meal vouchers to passengers with plenty of time in transit to eat at a restaurant at SIN airport and then serve only a light snack on the plane after takeoff. Seats in business class look impressive but are unsupportive in the sitting position and too hard and too short when used as a bed. F&B service as well as inflight entertainment were very good. Crew were also doing a good job. Service overall however was slower at the rear end of the business compartment. Probably also because the top deck was a two class business/economy layout and I was sitting at the far end of the service rotation.","Skytrax"
2014-12-18,"ingapore Airlines customer revie",9,"I flew from Jakarta-Singapore-Bangkok. The check in from Soekarno-Hatta and Changi was handled quickly but it took a little bit longer in Suvarnabhumi. Staff were friendly and hospitable. The inflight entertainment was wonderful! I like their travel magazine. The economy seats were standard but kind of uncomfortable (for me). The food was good with an average portion. There were no delays and they gave me and my family who were also travelling with me a S$20 voucher for every passenger (didn't know what promo that was). The price was also satisfactory and worth the flight experience. Will definitely fly with SQ again.","Skytrax"
2014-12-18,"ingapore Airlines customer revie",9,"DME-HOU-DME (flight SQ 062 and back with SQ 061): traveled to Houston with SA for business purposes. It was very nice and comfortable flight. Flight attendants were very friendly and openly. Food is very good and drinks as well. Three years ago I have flew the same flight and service is still on top level. Very good airline.","Skytrax"
2014-12-10,"ingapore Airlines customer revie",9,"SQ 15 - Sep 29. SQ402 - Oct 1. SQ5357 Oct 24. SQ16 - Oct 25 2014. I have been flying SQ from San Francisco to India since 1990 when they had their 747-400 Megatop almost once or twice a year. Other airlines have cut down on service rudeness of the cabin crew has increased and fares have skyrocketed. In SQ the service and amenities always amaze me a very polite and professional crew and new equipment. The only complaint I have is how they serve the meals in the Economy class. Special Meals like Asian Vegetarian almost begins an hour before the regular meals and passengers on Long Haul Flights need to be sitting with an upright seat for more than 90 minutes with an empty tray in front of them. Aperitifs for Specials Meals are served well after 30 minutes after their meal when the food/drinks cart makes it way. Similarly the dessert (which is usually ice cream) comes an hour after meals.","Skytrax"
2014-12-04,"ingapore Airlines customer revie",9,"BNE-SIN-ICN and return on Economy. Consistently great service in all four flights the cabin crew were very attentive. Food and drinks were excellent in generous servings and the movie selection on IFE is more than acceptable. I always love their signature cocktail Singapore Sling. The seat was a lot more spacious than I expected after having flown with other airlines in the US the month before. I thoroughly enjoyed all flights although having an empty seat next to me in all 4 flights might be one of the key contributing factors. I am a frequent flyer and I have to say this trip is one of the best I have had.","Skytrax"
2014-12-01,"ingapore Airlines customer revie",9,"We flew to Phuket via Singapore and as with previous trips the flight went without a hitch. The service was great and the staff worked really hard to satisfy all. The food was above average and filling and the drink service well above board.","Skytrax"
2014-12-01,"ingapore Airlines customer revie",9,"Flew from Singapore to Beijing as flight SQ802 on the 15th of November 2014 and returning back to Singapore as flight SQ807 on the 22nd of November 2014. It was my first time on the Singapore Airlines Airbus A380 in upper deck economy. Boarding was quick and efficient for both sectors having it about 40 minutes before departure and with boarding queues ending quickly. Legroom was excellent (I am 170cm tall). Food on the Beijing sector was delicious however it was not served hot thus making it a little disappointing. Service was great as the crew smiled gracefully during meal service. However a crew forgot to refill my orange juice (She did not have enough orange juice so she told me she was going to get some for me but did not come). The entertainment was spectacular with tons of movies and music. However the movie tends to lag when viewed. So I settled down to listening to music instead. The seats are comfortable but the pillow is too big so I feel they should make it smaller thus having it to use lesser space. The return sector was much better. The crew were more friendly and efficient compared to the Beijing sector. My dad's luggage had some issues so he told me to board the plane first. As I boarded the plane the steward welcomed me warmly and kindly guided me to my seat also helping me to find an available container to store mine and my father's large carry on. Food was much better on the return sector on the flight as it was served much warmer. I had a great experience with Singapore Airlines and I would recommend it anytime.","Skytrax"
2014-11-20,"ingapore Airlines customer revie",10,"SQ12 Sep 1st 2014. I flew from Tokyo NRT to Los Angeles on their A380. Flight left on time boarding was smooth and excellent service on board. Flight attendant extremely friendly and approachable great food and drinks (being served wine on a glass and not on a plastic cup in economy was amazing) and wonderful entertainment (they even had Italian series in it). My only critique would be more leg room. Would surely recommend them to others and look forward to flying SA again.","Skytrax"
2014-11-20,"ingapore Airlines customer revie",10,"Flew from Sydney to Zurich then Amsterdam back to Sydney. Staff were attentive and courteous. They worked very hard throughout the flight to keep things running smoothly. The toilets were clean the food was good and the flights were all on time. I would fly with Singapore again.","Skytrax"
2014-11-20,"ingapore Airlines customer revie",8,"Travelled CHC to SIN on 777. Lots of legroom IFE poor as screen too dark despite maximum adjustment and passenger announcements not loud enough. Staff ever helpful and smiling. Food on menu not great but snacks were. Flight on time. Then SIN to LHR on A380. Seating hard less legroom and very cold but preferable to being too warm. Needed the blanket! Food much better and staff excellent as usual. IFE had good choices but screen repeatedly froze and others experienced the same. Managed a good amount of sleep as plane so quiet but had to request eye mask and ear plugs. Why don't they ditch the stupid socks in the amenity pack which I have hardly ever seen anyone wearing and include eye masks and earplugs along with the toothbrush? Flight on time. Will definitely use them again. My 8th flight with SIA.","Skytrax"
2014-11-17,"ingapore Airlines customer revie",9,"LHR-SIN-DPS. Flew on the A380 and booked the preferred seating for extra legroom. While this was a blessing the reduction in seat width wasn't ideal. The seats were a little too firm for my liking. Other than that the experience was fantastic. Entertainment choice was plentiful the food was good and the cabin crew were excellent. All requests were met with a smile and service is miles ahead of other airlines.","Skytrax"
