"followee","screen_name","name","timezone","description","category","country","count","rank"
21447363,"katyperry","KATY PERRY","Alaska","Rising...","person","Ireland",192,49
24016767,"usatodaytravel","USA TODAY Travel","Eastern Time (US & Canada)","Get the latest travel news, deals and trends about flights, hotels, cruises and destinations from the USA TODAY Travel team.","travel","Canada",192,68
38676903,"easyJet","easyJet","London","Connecting people across Europe & passionate about making travel easy & affordable. 8:00-8:00pm GMT Mon-Sun. For customer services visit
https://t.co/hOTXBHTSHz","travel","Canada",192,69
87818409,"guardian","The Guardian","London","Top stories, special features, live blogs and more","news","Greenland",192,54
124476322,"lufthansa","Lufthansa","Bern","Welcome to the official twitter channel (international) of Deutsche Lufthansa AG!","airline","Belgium",192,6
158487331,"neymarjr","Neymar Jr","Brasilia","Filho de Deus, Pai, Feliz e Ousado !","person","Chile",192,33
265902729,"BBCSport","BBC Sport","Hawaii","Official https://t.co/XsBH2P4slh account. Also from @bbc - @bbcmotd @bbcf1 @bbctms @bbctennis @bbcrugbyunion & @bbcgetinspired","sports","Ireland",192,50
527526077,"JeremyClarkson","Jeremy Clarkson","","I am a presenter on an Amazon motoring show.","p","Morocco",192,45
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news","Bangladesh",191,16
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news","Spain",191,69
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel","Mexico",191,58
14159148,"UN","United Nations","Eastern Time (US & Canada)","Official twitter account of #UnitedNations. Get latest information on the #UNGA. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants","other","Canada",191,70
16211434,"TravelLeisure","Travel + Leisure","Eastern Time (US & Canada)","Your connection to the world of travel, brought to you by our editors. Questions? Stories? Please share! Social media terms: http://t.co/EZJig77Mz1","travel","Spain",191,70
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline","Vietnam",191,9
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline","Korea",191,5
26223583,"airberlin","airberlin","Berlin","A warm welcome to the official airberlin Twitter account. Discover the world of airberlin and register now for the airberlin newsletter! https://t.co/tmcNONhGio","","France",191,94
487118986,"XHNews","China Xinhua News","Beijing","China Insight, Global View. Xinhua News Agency is the first port of call for the latest China and world news. https://t.co/U0WI8N4Fll https://t.co/IHLImeWM1V","news","Egypt",191,83
1117317140,"FCFSeleccionCol","Selección Colombia","Bogota","Cuenta Oficial Selección Colombia de Fútbol.  Federación Colombiana de Fútbol. Mundial Colombia #FIFAFutsal2016","","Colombia",191,32
813286,"BarackObama","Barack Obama","Eastern Time (US & Canada)","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person","Colombia",190,33
1652541,"Reuters","Reuters Top News","Eastern Time (US & Canada)","Top and breaking news, pictures, and videos from Reuters.","news","Venezuela",190,60
16365636,"TripAdvisor","TripAdvisor","Eastern Time (US & Canada)","Know better, book better and go better on the world's largest travel site.","travel","New Zealand",190,49
19110632,"TravelMagazine","The Travel Magazine","London"," Get the latest travel news, articles, reports, guides, offers, competitions and more from https://t.co/0In5ml7F8A - we'd love to hear from you too.","travel","Spain",190,71
21759987,"Icelandair","Icelandair","Monrovia","Welcome to the official Twitter of Icelandair. Icelandair is an international airline currently serving 40 gateways in Europe, the USA and Canada.","","Spain",190,72
54341363,"JornalOGlobo","Jornal O Globo","Brasilia","Acompanhe as notícias do jornal O GLOBO","","Chile",190,34
56505125,"googlechrome","Google Chrome","Pacific Time (US & Canada)","The official Twitter account for the Google Chrome browser, OS, Chromebooks, Chromecast, and Web Store","brand","Saudi Arabia",190,56
57261519,"Metro_TV","METRO TV","Jakarta","The Official Twitter Page of METRO TV | METROTVNEWS com","news","Russia",190,72
79293791,"rihanna","Rihanna","Pacific Time (US & Canada)","Get #ANTI now: https://t.co/WH1Yy1ELJB","person","Venezuela",190,61
85603854,"JLo","Jennifer Lopez","Pacific Time (US & Canada)","New Single #LoveMakeTheWorldGoRound out Now! #ShadesOfBlue On NBC, https://t.co/Vr9yBT9OHp","person","Russia",190,73
243381107,"GooglePlay","Google Play","Pacific Time (US & Canada)","We’re exploring the world’s greatest stories through movies, TV, music, games, apps, books and so much more. Up for new adventures and discoveries? Let’s play.","brand","Russia",190,74
1245699895,"rte","RTÉ","","Raidió Teilifís Éireann, Ireland's National Public Service Multi-Media Organisation | Click for other RTÉ Twitter accounts | Explore http://t.co/Gzsd1VIk2x","n","Ireland",190,51
428333,"cnnbrk","CNN Breaking News","Eastern Time (US & Canada)","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news","Spain",189,73
14700316,"hrw","Human Rights Watch","Eastern Time (US & Canada)","We provide timely information on #humanrights crises in 90+ countries. Curated by @jimmurphysf, @astroehlein & @snorthfield45 Staff list https://t.co/wBw0SILvlQ","other","Iraq",189,95
16211434,"TravelLeisure","Travel + Leisure","Eastern Time (US & Canada)","Your connection to the world of travel, brought to you by our editors. Questions? Stories? Please share! Social media terms: http://t.co/EZJig77Mz1","travel","France",189,95
17919972,"taylorswift13","Taylor Swift","Pacific Time (US & Canada)","Born in 1989.","person","New Zealand",189,50
18909186,"TurkishAirlines","Turkish Airlines","Istanbul","Thanks for visiting Europe’s Best Airline on Twitter! Follow us for insights into our destinations and much more. Got an enquiry? Please consult @TK_HelpDesk.","airline","Colombia",189,34
19895282,"arrahman","A.R.Rahman","Chennai","Grammy and Academy Award winning musician","person","Bangladesh",189,17
26565946,"jtimberlake","Justin Timberlake","Pacific Time (US & Canada)","","person","Canada",189,71
26565946,"jtimberlake","Justin Timberlake","Pacific Time (US & Canada)","","person","Egypt",189,84
27067896,"IATA","IATA","Eastern Time (US & Canada)","The International Air Transport Association (IATA) is the global trade association of airlines. Our 260 members comprise 83% of total air traffic.","travel","Germany",189,48
160926944,"Lord_Sugar","Lord Sugar","Amsterdam","Chairman of Amshold Group, owner of @Amscreen and Amsprop. http://t.co/k0vMeUBXCm","person","Ireland",189,52
173992307,"BBC_Travel","BBC Travel","Eastern Time (US & Canada)","Discover new cultures. Embark on new adventures. Celebrate. Explore. Engage. BBC Travel: Inspiring you to fall in love with the world.","travel","Ecuador",189,81
273468342,"AuswaertigesAmt","Auswärtiges Amt","Berlin","Aktuelle Nachrichten aus dem Auswärtigen Amt - Auf Englisch: @GermanyDiplo - Impressum & Datenschutz: https://t.co/P3JHb7upJo","","Germany",189,49
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news","Turkey",188,43
813286,"BarackObama","Barack Obama","Eastern Time (US & Canada)","This account is run by Organizing for Action staff. Tweets from the President are signed -bo.","person","Slovenia",188,16
2459371,"Skype","Skype","Pacific Time (US & Canada)","The latest news and updates from the team at Skype. Follow the link below to discover all the wonderful things Skype has to offer.","brand","Egypt",188,85
11348282,"NASA","NASA","Eastern Time (US & Canada)","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other","New Zealand",188,51
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline","Bangladesh",188,18
20823928,"HeathrowAirport","Heathrow Airport","London","Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.","airport","Mexico",188,59
36184220,"NatGeoTravel","NatGeoTravel","Eastern Time (US & Canada)","Your guide to traveling with passion and purpose","travel","United Arab Emirates",188,100
44886859,"GoogleTravel","Google Travel Team","Pacific Time (US & Canada)","Google's Travel Team (Official): Here to provide the latest industry news & data","travel","France",188,96
113419517,"iHrithik","Hrithik Roshan","Mumbai","Man on mission- to live the best life possible come what may.","person","Bangladesh",188,19
140070953,"FIFAcom","FIFA.com","London","Bringing you interviews, features and news on FIFA and our 211 Member Associations. https://t.co/Qgt2IiVKey","sports","Egypt",188,86
155659213,"Cristiano","Cristiano Ronaldo","Madrid","This Privacy Policy addresses the collection and use of personal information - https://t.co/Jp6yh1T58c","person","Greenland",188,55
783214,"twitter","Twitter","Pacific Time (US & Canada)","Your official source for news, updates and tips from Twitter, Inc. Need help? Visit https://t.co/qq1HEzvnrA.","channel","South Africa",187,39
7587032,"SkyNews","Sky News","London","Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.","news","Ireland",187,53
11348282,"NASA","NASA","Eastern Time (US & Canada)","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other","Morocco",187,46
14293310,"TIME","TIME","Eastern Time (US & Canada)","Breaking news and current events from around the globe. Hosted by TIME staff. Tweet questions to our customer service team @TIMEmag_Service.","news","South Africa",187,40
19106719,"MAS","Malaysia Airlines","Kuala Lumpur","Welcome to the official Malaysia Airlines Berhad Twitter account. We’re tweeting here Monday to Friday 10am-5pm Malaysia time (GMT +8)","airline","Slovenia",187,17
21111883,"ddlovato","Demi Lovato","Mountain Time (US & Canada)","","person","Russia",187,75
36184220,"NatGeoTravel","NatGeoTravel","Eastern Time (US & Canada)","Your guide to traveling with passion and purpose","travel","Argentina",187,59
38676903,"easyJet","easyJet","London","Connecting people across Europe & passionate about making travel easy & affordable. 8:00-8:00pm GMT Mon-Sun. For customer services visit
https://t.co/hOTXBHTSHz","travel","Ecuador",187,82
487118986,"XHNews","China Xinhua News","Beijing","China Insight, Global View. Xinhua News Agency is the first port of call for the latest China and world news. https://t.co/U0WI8N4Fll https://t.co/IHLImeWM1V","news","Iraq",187,96
1339835893,"HillaryClinton","Hillary Clinton","Eastern Time (US & Canada)","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed –H","person","Iraq",187,97
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news","Vietnam",186,10
10228272,"YouTube","YouTube","Pacific Time (US & Canada)","lol watch this","channel","South Africa",186,41
14159148,"UN","United Nations","Eastern Time (US & Canada)","Official twitter account of #UnitedNations. Get latest information on the #UNGA. Follow us on Snapchat: united-nations. #GlobalGoals #UN4RefugeesMigrants","other","Saudi Arabia",186,57
14226495,"JetBlueCheeps","JetBlue Cheeps","Eastern Time (US & Canada)","Watch for great deals on last minute flights. Cheeps are offered for a limited time and limited availability so act fast!","","Canada",186,72
14872237,"realmadrid","Real Madrid C. F.","Madrid","Cuenta oficial del Real Madrid C.F., ENGLISH @realmadriden, FRANÇAIS @realmadridfra, العربيه @realmadridarab, 日本語 @realmadridjapan.","sports","Egypt",186,87
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","Ireland",186,54
184910040,"Adele","Adele","Quito","https://t.co/5Vf55N5xFe","person","Egypt",186,88
256186607,"AerocivilCol","AERONÁUTICA CIVIL","Central Time (US & Canada)","","","Colombia",186,35
348379865,"Dior","Dior","Paris","","brand","Iraq",186,98
428333,"cnnbrk","CNN Breaking News","Eastern Time (US & Canada)","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news","Bangladesh",185,20
612473,"BBCNews","BBC News (UK)","London","News, features and analysis (https://t.co/FAlDvMvjw7). World news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport","news","Iraq",185,99
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news","Spain",185,74
1652541,"Reuters","Reuters Top News","Eastern Time (US & Canada)","Top and breaking news, pictures, and videos from Reuters.","news","Morocco",185,47
5920532,"Delta","Delta","Eastern Time (US & Canada)","Official account of Delta Air Lines. We’re listening around the clock, 7 days a week. For a formal response please visit https://t.co/NnsfScRHt1.","airline","Saudi Arabia",185,58
8161232,"richardbranson","Richard Branson","London","Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!","person","Russia",185,76
14230524,"ladygaga","JOANNE","Quito","Perfect Illusion OUT NOW / New Album JOANNE OCT 21 PRE-ORDER: https://t.co/8QsYawBg3M So #JOANNE is like, you know, Lady Gaga if you erase all the fame.","person","Egypt",185,89
15012486,"CBSNews","CBS News","Eastern Time (US & Canada)","The official twitter feed of @CBSNews. Follow for original reporting and trusted news.","news","Ecuador",185,83
16409683,"britneyspears","Britney Spears","Pacific Time (US & Canada)","My new album #Glory is out now!","person","Venezuela",185,62
18148907,"AviationWeek","Aviation Week","London","Insight and analysis from the Aviation Week Network, the largest information provider to the global aviation, aerospace and defense industries since 1916.","","France",185,97
18681139,"priyankachopra","PRIYANKA","Mumbai","Dreamer.. Achiever..","person","Bangladesh",185,21
21759987,"Icelandair","Icelandair","Monrovia","Welcome to the official Twitter of Icelandair. Icelandair is an international airline currently serving 40 gateways in Europe, the USA and Canada.","","France",185,98
24016767,"usatodaytravel","USA TODAY Travel","Eastern Time (US & Canada)","Get the latest travel news, deals and trends about flights, hotels, cruises and destinations from the USA TODAY Travel team.","travel","Ecuador",185,84
33933259,"UNICEF","UNICEF","Eastern Time (US & Canada)","UNICEF promotes the rights and wellbeing of every child in 190 countries and territories, with a special focus on reaching those in greatest need.","other","Ecuador",185,85
44409004,"shakira","Shakira","Eastern Time (US & Canada)","#LaBicicleta @CarlosVives & Shakira. iTunes: https://t.co/soIQTtdbP9  https://t.co/oEZtqqavxC","person","Argentina",185,60
56505125,"googlechrome","Google Chrome","Pacific Time (US & Canada)","The official Twitter account for the Google Chrome browser, OS, Chromebooks, Chromecast, and Web Store","brand","Russia",185,77
69231187,"UNHumanRights","UN Human Rights","Paris","The United Nations #HumanRights office is led by High Commissioner #Zeid","other","Kenya",185,82
87818409,"guardian","The Guardian","London","Top stories, special features, live blogs and more","news","Ecuador",185,86
243381107,"GooglePlay","Google Play","Pacific Time (US & Canada)","We’re exploring the world’s greatest stories through movies, TV, music, games, apps, books and so much more. Up for new adventures and discoveries? Let’s play.","brand","Egypt",185,90
428333,"cnnbrk","CNN Breaking News","Eastern Time (US & Canada)","Breaking news from reporters and editors on the CNN Digital news team. Now 42M strong. Check @cnn for all things CNN, breaking and more.","news","Vietnam",184,11
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news","Argentina",184,61
9204502,"BILD","BILD","Berlin","Hier twittern die BILD-Redaktion in Berlin und die Reporter aus aller Welt · Snapchat: hellobild · Impressum: https://t.co/QmyG5OkSeF","","Germany",184,50
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","New Zealand",184,52
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","Argentina",184,62
20823928,"HeathrowAirport","Heathrow Airport","London","Welcome to the official Heathrow Airport Twitter feed. We're here to help every day between 6:30am and 11pm (GMT). Follow @yourHeathrow for our expansion news.","airport","Argentina",184,63
22536055,"AmericanAir","American Airlines","Central Time (US & Canada)","We’re here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline","Switzerland",184,10
38676903,"easyJet","easyJet","London","Connecting people across Europe & passionate about making travel easy & affordable. 8:00-8:00pm GMT Mon-Sun. For customer services visit
https://t.co/hOTXBHTSHz","travel","Russia",184,78
38679388,"gmail","Gmail","Pacific Time (US & Canada)","News, tips and tricks from the Gmail team. Need help? Fly on over to our Help Center or forum.","brand","Egypt",184,91
96951800,"FCBarcelona","FC Barcelona","Paris","More official accounts @fcbarcelona_cat @fcbarcelona_es @fcbarcelona_br @fcbarcelona_jp @fcbarcelona_id, @fcbarcelona_ara @fcbarcelona_fra @fcbarcelona_tr","sports","Iraq",184,100
742143,"BBCWorld","BBC News (World)","London","Where we #LiveTheStory - join us https://t.co/zQYj7l9rp2","news","Turkey",183,44
2097571,"cnni","CNN International","London","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","news","Greenland",183,56
11348282,"NASA","NASA","Eastern Time (US & Canada)","Explore the universe and discover our home planet with @NASA. We usually post in EDT (UTC-4).","other","Ireland",183,55
14594813,"folha","Folha de S.Paulo","Brasilia","Perfil oficial do jornal Folha de S.Paulo. No Facebook: http://t.co/HTDLgzHM. Atendimento: @folha_atende","","Chile",183,35
17055388,"AsianaAirlines","Asiana Airlines","Pacific Time (US & Canada)","Official Twitter of Asiana Airlines USA. Main hub: Seoul, Korea. #ASIANA380 now operating LAX-ICN via OZ202/201. Formal responses visit http://t.co/VzCObfDbdR","airline","Korea",183,6
17753033,"wossy","Jonathan Ross","Tehran","Former Drummer with ThrimbleWeed and the Vegetations","p","Ireland",183,56
56377143,"KLM","Royal Dutch Airlines","Amsterdam","Official global account of KLM. While we keep you updated, we're at your service in 12 languages. Share personal details only in private messages!","airline","Serbia",183,6
101695592,"deepikapadukone","Deepika Padukone","Mumbai","Live,Love,Laugh... https://t.co/W632g3qOKi","person","Bangladesh",183,22
297169759,"SamsungMobile","Samsung Mobile","Eastern Time (US & Canada)","[Statement] Samsung Urges Galaxy Note7 Users to Immediately Participate in The Replacement Program https://t.co/qyBpeBPd64","brand","Venezuela",183,63
389647785,"TrafficAirColom","Tráfico Aéreo Colom","Bogota","Información de llegadas y salidas de vuelos nacionales e internacionales de Colombia, estado del tiempo. Información aérea.","","Colombia",183,36
760314871,"BOG_ELDORADO","Aeropuerto El Dorado","Bogota","Cuenta oficial - Aeropuerto El Dorado Luis Carlos Galán Sarmiento","","Colombia",183,37
4898091,"FinancialTimes","Financial Times","London","Headlines from the FT. Follow us on @FT for news stories, features and updates. Our customer service team is @FTcare.","news","Ecuador",182,87
5402612,"BBCBreaking","BBC Breaking News","London","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news","Turkey",182,45
15670515,"Windows","Windows","Pacific Time (US & Canada)","Windows news, product info & global stories of people using Windows technology to #DoGreatThings. For support tweet @WindowsSupport","brand","Russia",182,79
19913832,"manairport","Manchester Airport","London","Official Twitter stream for Manchester Airport. News, offers & banter with a hint of Northernness. Manned from 7am-11pm. Contact Centre Number: 0330 333 0304","","Morocco",182,48
21401523,"staralliance","Star Alliance","Berlin","The Star Alliance network provides a range of benefits for the international traveller to improve their travel experience, wherever they are in the world.","airline","Kenya",182,83
22536055,"AmericanAir","American Airlines","Central Time (US & Canada)","We’re here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline","Portugal",182,8
25103967,"Boeing","The Boeing Company","Central Time (US & Canada)","Boeing has a tradition of aerospace leadership and innovation, and is committed to investing in the communities where our people work and live worldwide.","travel","Turkey",182,46
54904679,"AirCanada","Air Canada","Eastern Time (US & Canada)","News & more. For fare discounts & special offers follow @ACFlightOffers. | Nouvelles et plus. Pour nos offres spéciales suivez @ACFlightOffers.","airline","Colombia",182,38
173992307,"BBC_Travel","BBC Travel","Eastern Time (US & Canada)","Discover new cultures. Embark on new adventures. Celebrate. Explore. Engage. BBC Travel: Inspiring you to fall in love with the world.","travel","Ireland",182,57
187897893,"Moncler","Moncler","Rome","Born in the mountains, lives in the city. The official account for Moncler.","t","Russia",182,80
972651,"mashable","Mashable","Eastern Time (US & Canada)","News, resources, inspiration and fun for the connected generation. Tweets by @mashable staff.","news","Ecuador",181,88
2803191,"intel","Intel","Pacific Time (US & Canada)","Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport","brand","Russia",181,81
16211434,"TravelLeisure","Travel + Leisure","Eastern Time (US & Canada)","Your connection to the world of travel, brought to you by our editors. Questions? Stories? Please share! Social media terms: http://t.co/EZJig77Mz1","travel","Russia",181,82
30899115,"AirFranceUS","Air France US","Eastern Time (US & Canada)","#FranceisintheAir! At your service 24/7. Stay connected for our latest news. For media inquiries tweet @AFNewsroom (Personal info by DM only)","","Canada",181,73
32388036,"LondonCityAir","London City Airport","London","London City Airport – the true gateway to London","","Ireland",181,58
33884545,"CNNEE","CNN en Español","Eastern Time (US & Canada)","CNN en Español es tu principal fuente de información y breaking news. Cubrimos las noticias de América Latina y el resto del mundo. Vive la noticia.","","Chile",181,36
36184220,"NatGeoTravel","NatGeoTravel","Eastern Time (US & Canada)","Your guide to traveling with passion and purpose","travel","Mexico",181,60
61097151,"AlvaroUribeVel","Álvaro Uribe Vélez","Bogota","Bienvenidos a la cuenta oficial de Twitter de Álvaro Uribe Vélez. Presidente de la República de Colombia 2002-2010. Página Web.","","Colombia",181,39
74286565,"Microsoft","Microsoft","Pacific Time (US & Canada)","The official Twitter page for Microsoft consumer products and your source for major announcements and events.","brand","France",181,99
87818409,"guardian","The Guardian","London","Top stories, special features, live blogs and more","news","Ireland",181,59
821045162,"emirates","Emirates airline","Abu Dhabi","The official Twitter channel for Emirates airline. Pls tweet @EmiratesSupport if you need any assistance in English & Arabic. We are online 24/7","airline","Romania",181,2
1093090866,"FLOTUS","The First Lady","Eastern Time (US & Canada)","This account is run by the Office of First Lady Michelle Obama. Tweets from the First Lady are signed –mo. Tweets may be archived. More at https://t.co/eVVzoBb3Zr","person","Kenya",181,84
1536791610,"POTUS","President Obama","Atlantic Time (Canada)","Dad, husband, and 44th President of the United States. Tweets may be archived: http://t.co/eVVzoATsAR.","person","France",181,100
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel","Spain",180,75
14230524,"ladygaga","JOANNE","Quito","Perfect Illusion OUT NOW / New Album JOANNE OCT 21 PRE-ORDER: https://t.co/8QsYawBg3M So #JOANNE is like, you know, Lady Gaga if you erase all the fame.","person","Venezuela",180,64
14511951,"HuffingtonPost","Huffington Post","Eastern Time (US & Canada)","internet lovers | sleep believers | news addicts | big font obsessives | greek yogurt fans | Sign our petition to end food waste: https://t.co/kRV9KPguV7","news","Canada",180,74
14589119,"qatarairways","Qatar Airways","Kuwait","Official account of Qatar Airways. Follow us for offers, news, and careers. For Customer Care, please visit https://t.co/nNuqO4z99F","airline","Azerbaijan",180,1
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","Venezuela",180,65
17715048,"VEJA","VEJA","Brasilia","Notícias, análises, blogs, vídeos. Acompanhe também no Facebook (http://t.co/BrQoU0P09F)","","Chile",180,37
20536157,"google","Google","Pacific Time (US & Canada)","News and updates from Google","channel","Mexico",180,61
27260086,"justinbieber","Justin Bieber","Eastern Time (US & Canada)","Let's make the world better. Join @bkstg and add me on @shots 'justinbieber'. COLD WATER and LET ME LOVE YOU out now. OUR new album PURPOSE out NOW","person","Egypt",180,92
155659213,"Cristiano","Cristiano Ronaldo","Madrid","This Privacy Policy addresses the collection and use of personal information - https://t.co/Jp6yh1T58c","person","Bangladesh",180,23
213278292,"ProthomAlo","Prothom Alo","Dhaka","The Daily Prothom Alo, worlds' number 1 Bengali news portal. Follow us for real time news & updates at http://t.co/c504mSzQ0z #ProthomAlo","","Bangladesh",180,24
285332860,"WayneRooney","Wayne Rooney","Hawaii","@NikeUK athlete https://t.co/3yp07llC6E @triplessports","person","Kenya",180,85
5402612,"BBCBreaking","BBC Breaking News","London","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news","Venezuela",179,66
15084853,"IrishTimes","The Irish Times","Dublin","Diverse opinion, thorough reporting and outstanding writing from http://t.co/1Etncb0wHP, plus RTs of our journalists. Customer service team is @IrishTimesHelp.","","Ireland",179,60
16898427,"cathaypacific","Cathay Pacific","Hong Kong","Welcome to the Cathay Pacific Airways Twitter community, where you can share your #lifewelltravelled moments!  You’ll find us tweeting Mon-Fri between 9am & 5pm","airline","Switzerland",179,11
17471979,"NatGeo","National Geographic","Eastern Time (US & Canada)","Since 1888, we've traveled the Earth, sharing its amazing stories with new generations. Official Twitter account of National Geographic.","channel","Morocco",179,49
21764143,"FlySWISS","Swiss Intl Air Lines","Bern","Official twitter account of Switzerland's national airline. SWISS in CH @FlySWISS_CH, in the USA @FlySWISS_US, SWISS Cargo @SwissWorldCargo","airline","Slovenia",179,18
22090282,"BoeingAirplanes","Boeing Airplanes","Pacific Time (US & Canada)","Official Twitter of Boeing Commercial Airplanes - 
We design, build and support a family of technologically advanced commercial jets","travel","Ireland",179,61
35094637,"aliciakeys","Alicia Keys","Eastern Time (US & Canada)","Passionate about my work, in love with my family and dedicated to spreading light. It's contagious! ;-) https://t.co/vZcUuNOKcz","person","Kenya",179,86
218730857,"Qantas","Qantas","Sydney","The official Qantas Twitter page to share information & get feedback. We’re online 24 hours a day, 7 days a week.","airline","Ukraine",179,6
527526077,"JeremyClarkson","Jeremy Clarkson","","I am a presenter on an Amazon motoring show.","p","Ireland",179,62
759251,"CNN","CNN","Eastern Time (US & Canada)","It’s our job to #GoThere and tell the most difficult stories. Come with us!","news","Germany",178,51
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel","South Africa",178,42
20536157,"google","Google","Pacific Time (US & Canada)","News and updates from Google","channel","Venezuela",178,67
22536055,"AmericanAir","American Airlines","Central Time (US & Canada)","We’re here to offer advice and inspiration for your trip on American. Please click here if you require a formal response to a complaint:https://t.co/gHXQN4ORDA","airline","South Africa",178,43
23375688,"selenagomez","Selena Gomez","Pacific Time (US & Canada)","#REVIVAL out NOW. https://t.co/zP4EExdSBG Get The Revival Tour Line: https://t.co/YHbGeHnygg","person","Egypt",178,93
95255169,"TwitterDE","Twitter Deutschland","Pacific Time (US & Canada)","Support-Fragen: https://t.co/jTMg7YbaEx oder folgt @hilfe. | Unser Blog: https://t.co/7Wwjm2dm0f | Folge uns live auf https://t.co/suI1I0dUlo","","Germany",178,52
413487212,"SimonCowell","Simon Cowell","Pacific Time (US & Canada)","","","Morocco",178,50
5402612,"BBCBreaking","BBC Breaking News","London","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","news","Vietnam",177,12
5988062,"TheEconomist","The Economist","Eastern Time (US & Canada)","News and analysis with a global perspective.  Subscribe here: https://t.co/FDPVGW00W2","channel","New Zealand",177,53
6017542,"BreakingNews","Breaking News","Eastern Time (US & Canada)","Be the first to know when news breaks. Get our free app to unlock more updates, see news near you and customize your alerts...","news","Egypt",177,94
10228272,"YouTube","YouTube","Pacific Time (US & Canada)","lol watch this","channel","Slovenia",177,19
15846407,"TheEllenShow","Ellen DeGeneres","Pacific Time (US & Canada)","Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular. https://t.co/rJNCGU9GhH","person","Greenland",177,57
18332190,"British_Airways","British Airways","London","Official British Airways Twitter account. We love reading your Tweets & are here 24 hours a day, 7 days a week to help. You can also visit","airline","Romania",177,3
20536157,"google","Google","Pacific Time (US & Canada)","News and updates from Google","channel","New Zealand",177,54
20536157,"google","Google","Pacific Time (US & Canada)","News and updates from Google","channel","Ireland",177,63
